,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME
3436,21,20.4,3.8,19.1
3072,10,20.4,2.6,10.2
3134,0,22.7,8.7,0.7
5368,0,23.6,2.4,1.2
4045,3,25.3,4.7,5.3
5022,0,17.8,3.8,0.6
1594,6,20.4,2.2,6.4
223,0,24.4,3.2,1.0
4862,4,8.6,0.4,7.4
4709,0,5.3,2.6,0.8
2891,11,24.6,2.3,10.6
1245,6,24.0,4.2,5.3
1540,0,21.0,2.5,2.3
3537,4,20.2,2.5,4.2
4148,0,25.9,5.2,1.0
4625,0,5.7,5.0,0.6
2533,4,7.0,1.9,5.0
6378,2,3.2,0.8,3.6
818,5,5.4,1.0,5.3
3458,0,24.9,4.2,0.8
155,1,21.0,2.0,1.8
6316,1,23.5,3.1,3.0
248,4,22.3,4.5,5.5
4857,1,10.4,3.8,1.2
3927,7,21.4,6.5,4.2
4014,9,25.7,3.5,9.6
2636,0,5.1,20.0,0.5
5226,7,3.9,2.5,9.1
4638,0,5.3,4.0,1.5
793,3,18.8,4.4,3.1
1725,0,21.6,3.8,1.2
3189,2,3.6,2.9,4.0
2649,1,20.6,3.2,1.0
628,4,12.4,2.1,6.8
6134,1,17.4,3.8,1.2
2339,1,26.9,4.3,1.1
6289,1,5.0,1.1,6.9
5463,0,18.1,3.5,4.8
1620,8,20.2,3.8,6.6
1451,8,26.5,5.9,6.9
2902,9,2.4,3.0,8.6
5167,0,20.0,3.3,1.2
4650,0,8.0,3.1,0.8
1828,1,6.3,2.8,1.6
826,7,25.3,6.2,5.8
1639,4,24.3,3.0,4.7
3864,2,15.1,4.1,8.5
2913,5,32.9,3.9,3.8
3791,0,25.1,7.7,1.0
2939,11,25.9,4.6,9.6
3420,0,22.7,3.0,1.2
3996,5,5.3,1.6,8.2
3767,4,21.7,5.9,4.0
535,2,2.3,4.3,2.0
5906,7,6.8,0.4,7.7
2663,7,15.0,5.3,7.4
154,1,17.4,2.9,1.9
3241,11,8.3,2.1,8.6
5596,2,20.0,3.1,2.4
3149,3,25.2,4.7,3.6
2952,12,16.2,2.5,11.1
1311,0,25.1,6.9,0.8
322,0,17.1,2.9,5.8
5806,6,23.0,2.3,6.1
4110,9,5.3,2.1,8.1
3330,4,2.9,3.4,2.9
3985,3,9.4,2.3,6.6
1798,0,21.4,10.3,1.0
82,0,2.6,1.3,1.1
2560,0,24.9,15.8,0.9
1943,3,25.1,4.5,2.6
1988,1,16.9,3.4,1.7
3536,15,1.0,2.6,10.3
5479,9,4.5,3.5,8.8
1574,2,23.3,13.3,1.3
2977,3,25.0,2.9,3.2
2723,10,2.1,1.8,6.7
3405,1,18.5,6.8,1.4
2058,4,13.5,4.2,4.0
1762,3,11.3,3.4,3.8
1494,4,12.9,4.6,5.7
4927,1,7.7,2.1,1.4
2080,0,24.6,4.1,0.7
1174,0,25.0,4.6,0.8
4509,19,1.3,1.9,19.1
2628,10,5.9,1.1,10.1
5913,2,3.3,1.0,3.9
4261,3,26.5,3.9,12.1
5989,0,22.6,3.6,0.8
614,20,7.6,0.3,15.7
3093,2,5.8,3.9,3.7
3450,4,1.4,5.5,3.4
1014,8,20.7,4.9,5.8
3057,2,22.6,6.7,2.1
6357,1,5.2,2.7,5.6
5333,0,24.4,5.6,0.9
3905,0,23.0,6.8,0.8
2181,0,22.1,4.1,0.7
3418,0,24.3,14.2,1.2
4651,1,3.9,0.1,5.4
3100,5,3.5,1.9,5.9
1211,0,25.7,2.2,1.9
6221,1,16.4,0.5,3.3
634,3,16.4,3.7,5.0
1055,0,8.4,2.8,0.1
2340,5,13.5,3.7,3.5
5804,7,18.9,5.2,6.3
796,0,24.6,5.5,0.7
5187,1,14.7,4.9,4.8
4270,3,25.1,4.7,3.7
2814,3,25.0,5.7,3.0
4341,25,15.7,2.5,21.6
1080,8,21.6,4.3,6.0
1654,0,8.2,2.9,0.6
1607,16,7.4,2.6,16.2
144,0,15.4,2.0,0.9
4241,4,2.4,5.3,4.5
90,13,13.7,1.8,10.8
682,2,27.3,4.1,2.1
4406,2,25.4,4.7,2.1
3431,2,7.6,1.7,5.8
93,8,25.0,4.0,6.3
834,3,19.0,4.0,4.9
5020,0,2.2,1.9,0.8
6176,9,5.3,2.1,8.1
5131,0,19.4,6.7,1.1
1400,2,16.4,5.8,2.4
3979,0,27.0,3.4,8.8
2291,2,19.6,1.8,2.6
1500,3,3.2,2.0,3.4
2262,0,1.5,5.8,0.5
1468,8,24.8,4.4,5.9
3928,4,3.0,2.4,4.0
3245,8,8.5,1.4,6.4
998,1,22.3,2.1,3.3
853,0,9.5,3.7,0.7
3875,3,22.6,5.6,5.0
1142,3,3.0,11.1,4.4
5239,1,9.1,2.5,3.6
2274,4,18.3,4.3,3.4
4497,0,5.7,0.0,0.0
1103,0,22.3,6.5,0.8
84,11,15.9,2.6,11.4
2210,6,26.5,5.5,4.2
6322,1,17.3,3.8,4.9
4210,1,4.0,1.9,6.6
6025,0,10.4,1.6,0.0
5681,0,18.3,2.9,1.3
3440,5,11.8,2.9,4.1
1567,4,24.9,0.5,4.5
5597,0,24.2,3.9,1.0
1660,6,24.6,1.7,5.9
