,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_RESULT
14371,4,26.7,3.2,5.2,made
14372,0,5.0,2.6,1.7,made
14373,3,5.9,6.8,4.0,made
14374,12,32.2,11.2,13.1,missed
14375,6,19.4,4.9,5.3,made
14376,1,0.8,3.9,1.8,missed
14377,5,27.1,5.0,6.6,missed
14378,4,25.7,5.2,5.4,made
14379,11,27.9,5.3,7.7,made
14380,19,24.4,4.7,18.7,missed
14381,12,11.6,5.5,8.7,missed
14382,7,1.4,2.9,6.9,missed
14383,0,27.6,4.3,1.8,made
14384,1,16.1,10.8,1.5,made
14385,0,25.1,3.6,0.7,missed
14386,7,14.6,2.6,3.9,made
14387,0,1.2,5.4,0.9,made
14388,8,33.7,2.7,8.2,missed
14389,9,9.5,5.3,6.5,made
14390,1,2.6,3.3,2.4,missed
14391,0,24.1,2.8,0.7,made
14392,0,2.8,3.6,0.8,made
14393,3,11.6,5.3,2.8,missed
14394,0,25.3,4.5,0.9,missed
14395,0,19.1,5.1,1.2,missed
14396,0,8.4,2.8,0.1,made
14397,2,25.9,3.1,4.8,missed
14398,0,25.2,3.8,0.9,missed
14399,6,24.5,3.4,5.4,missed
14400,6,24.4,4.1,5.5,missed
14401,0,22.3,3.5,0.7,missed
14402,0,26.1,4.9,0.7,made
14403,0,3.2,3.6,0.5,made
14404,1,4.8,2.0,0.9,made
14405,2,12.2,3.5,2.1,missed
14406,1,11.1,4.9,2.0,made
14407,4,12.1,5.8,2.8,made
14408,4,5.4,2.9,5.1,made
14409,0,26.1,9.5,0.0,made
14410,12,24.6,4.9,9.4,missed
14411,2,25.0,12.7,3.3,made
14412,3,1.3,4.9,3.5,missed
14413,4,26.2,5.4,3.9,missed
14414,2,10.5,4.7,2.1,made
14415,5,22.1,4.6,5.6,made
14416,4,4.5,1.7,5.2,missed
14417,7,26.8,5.1,6.3,missed
14418,1,24.9,8.6,1.9,missed
14419,0,25.4,5.7,0.8,missed
14420,4,24.8,5.3,4.4,made
14421,8,21.6,4.3,6.0,missed
14422,0,23.5,8.1,1.0,made
14423,4,2.6,1.1,3.8,made
14424,0,22.4,2.1,1.1,missed
14425,10,1.7,1.9,7.3,made
14426,9,2.5,2.1,8.2,missed
14427,1,15.8,4.0,2.0,made
14428,0,21.8,4.9,0.7,made
14429,4,27.2,4.3,4.0,made
14430,0,24.9,4.6,0.6,missed
14431,1,24.3,3.5,2.2,made
14432,5,24.3,6.4,4.4,made
14433,7,7.5,2.0,6.4,missed
14434,1,15.3,2.2,2.3,made
14435,0,23.2,5.0,0.8,missed
14436,0,2.4,1.7,0.7,made
14437,8,21.8,4.2,6.3,missed
14438,0,24.8,7.0,1.8,made
14439,0,10.7,6.7,0.0,missed
14440,0,22.4,9.4,0.8,made
14441,0,16.4,2.0,0.7,missed
14442,0,24.5,9.1,0.8,missed
14443,1,6.7,1.9,2.7,made
14444,0,22.3,6.5,0.8,made
14445,1,25.5,3.1,1.4,made
14446,6,24.5,6.3,7.6,missed
14447,2,18.8,2.3,2.3,made
14448,6,24.5,5.1,6.2,missed
14449,0,2.2,2.6,0.6,made
14450,0,2.3,1.3,2.5,made
14451,0,25.8,5.4,0.8,made
14452,5,26.2,4.3,4.6,missed
14453,0,21.0,5.0,0.0,missed
14454,0,25.0,10.8,1.0,made
14455,6,8.6,3.0,5.1,made
14456,0,23.8,4.5,0.6,made
14457,0,22.7,4.3,0.6,missed
14458,4,20.4,3.3,5.4,made
14459,4,11.3,1.9,4.2,made
14460,8,7.2,0.7,6.8,missed
14461,7,21.9,2.1,6.7,made
14462,0,24.4,5.3,0.9,missed
14463,2,1.7,3.7,2.4,made
14464,2,3.6,6.7,1.8,made
14465,5,24.9,6.6,3.9,missed
14466,0,24.2,3.5,0.8,made
14467,4,27.2,8.3,4.2,missed
14468,0,0.7,3.2,1.0,missed
14469,0,24.1,5.4,0.8,made
14470,0,25.0,6.0,0.6,missed
14471,0,26.6,3.3,1.1,made
14472,0,3.7,2.3,1.3,missed
14473,0,18.2,1.9,0.9,made
14474,1,24.8,9.2,1.8,missed
14475,6,3.2,0.6,8.2,made
14476,3,19.6,4.2,4.5,made
14477,0,27.6,6.5,0.7,made
14478,6,23.4,7.5,5.5,missed
14479,5,14.3,4.3,6.0,missed
14480,2,9.1,1.5,2.4,missed
14481,1,27.3,6.4,1.5,made
14482,6,25.5,1.6,6.7,missed
14483,3,3.0,11.1,4.4,made
14484,3,27.6,6.1,4.1,made
14485,10,25.8,5.4,14.7,missed
14486,0,22.5,3.5,2.0,missed
14487,0,24.6,9.1,0.8,missed
14488,4,6.0,2.6,5.1,made
14489,1,7.0,4.1,1.0,missed
14490,9,23.8,4.6,6.8,made
14491,5,24.9,2.5,3.6,missed
14492,20,4.5,2.2,18.4,made
14493,7,3.1,0.3,5.9,made
14494,7,7.0,1.5,5.8,made
14495,0,3.0,3.6,0.0,made
14496,1,22.8,4.0,2.5,missed
14497,6,18.1,3.6,5.4,missed
14498,6,5.1,6.6,5.6,made
14499,0,1.2,3.0,1.1,made
14500,1,4.4,4.6,2.8,missed
14501,4,24.5,7.6,4.3,missed
14502,6,25.1,6.9,5.9,missed
14503,3,12.7,5.1,6.3,missed
14504,1,26.0,5.8,2.0,missed
14505,3,31.8,6.0,4.2,made
14506,6,6.3,2.3,7.1,made
14507,4,23.8,5.8,3.9,made
14508,4,2.7,2.2,4.3,missed
14509,1,1.1,5.2,1.8,made
14510,2,27.5,3.8,2.4,missed
14511,0,26.1,3.6,1.0,missed
14512,0,23.4,1.2,1.6,missed
14513,0,24.3,5.0,1.6,made
